,p1_name,p1_games_won,p1_aces,p1_double_faults,p1_first_serves_in,p1_first_serve_points_won,p1_second_serve_points_won,p2_name,p2_games_won,p2_aces,p2_double_faults,p2_first_serves_in,p2_first_serve_points_won,p2_second_serve_points_won,p1_sets_won,p2_sets_won,p1_ranking_points,p2_ranking_points,y
4954,Yu Hsiou Hsu,2,0,0.053,0.658,0.56,0.385,Alex De Minaur,6,1,0.0,0.474,0.778,0.9,0,1,265,1710,1
5026,Yu Hsiou Hsu,2,3,0.0265,0.6955,0.5525,0.38,Alex De Minaur,6,5,0.0,0.594,0.789,0.7835000000000001,0,2,265,1710,1
5098,Zizou Bergs,4,2,0.061,0.606,0.8,0.385,Laslo Djere,6,1,0.032,0.548,0.765,0.643,0,1,428,758,1
5170,Zizou Bergs,6,6,0.0305,0.621,0.8285,0.505,Laslo Djere,1,2,0.016,0.4615,0.6325000000000001,0.47150000000000003,1,1,428,758,1
5242,Zizou Bergs,4,7,0.0205,0.4256666666666667,0.45083333333333336,0.25933333333333336,Laslo Djere,6,4,0.005333333333333333,0.31416666666666665,0.3901666666666667,0.3475,1,2,428,758,1
5314,Dusan Lajovic,6,2,0.047,0.605,0.654,0.471,Juan Pablo Varillas,6,4,0.0,0.5,0.667,0.429,1,0,591,541,0
5316,Roberto Carballes Baena,6,0,0.049,0.561,0.696,0.444,Bernabe Zapata Miralles,6,3,0.075,0.55,0.682,0.5,1,0,695,702,1
5318,Roberto Carballes Baena,3,1,0.07300000000000001,0.5065000000000001,0.705,0.428,Bernabe Zapata Miralles,6,5,0.0375,0.603,0.698,0.5225,1,1,695,702,1
5320,Federico Coria,6,5,0.0,0.673,0.543,0.647,Thiago Monteiro,6,1,0.091,0.591,0.769,0.444,0,1,775,690,0
5392,Federico Coria,6,9,0.0225,0.7,0.6775,0.5735,Thiago Monteiro,1,2,0.0735,0.629,0.6759999999999999,0.3055,1,1,775,690,0
5464,Federico Delbonis,6,0,0.041,0.612,0.633,0.526,Alejandro Tabilo,6,4,0.0,0.472,0.72,0.536,0,1,426,394,0
5536,Federico Delbonis,6,2,0.0205,0.681,0.75,0.563,Alejandro Tabilo,2,6,0.0435,0.5405,0.717,0.379,1,1,426,394,0
5608,Luciano Darderi,6,2,0.036,0.536,0.933,0.615,Hugo Gaston,4,2,0.034,0.448,0.769,0.562,1,0,291,533,0
5680,Pablo Andujar,4,0,0.222,0.519,0.429,0.429,Juan Manuel Cerundolo,5,0,0.061,0.606,0.5,0.538,0,1,377,460,1
5752,Pedro Martinez,6,1,0.022,0.63,0.724,0.353,Cristian Garin,6,3,0.043,0.478,0.727,0.542,0,1,746,526,1
5824,Pedro Martinez,6,2,0.0335,0.633,0.8265,0.4265,Cristian Garin,2,3,0.0865,0.5215,0.6325000000000001,0.47100000000000003,1,1,746,526,1
5896,Arthur Fils,7,4,0.051,0.615,0.875,0.267,Richard Gasquet,5,1,0.029,0.765,0.731,0.375,1,0,361,910,0
5898,Nikoloz Basilashvili,6,3,0.029,0.676,0.739,0.818,Constant Lestienne,6,2,0.02,0.653,0.75,0.412,0,1,595,879,0
5900,Nikoloz Basilashvili,7,3,0.0415,0.622,0.679,0.659,Constant Lestienne,5,6,0.023,0.6214999999999999,0.7010000000000001,0.362,1,1,595,879,0
5902,Benjamin Bonzi,3,0,0.034,0.621,0.611,0.455,Lorenzo Sonego,6,1,0.0,0.808,0.667,0.8,0,1,956,835,1
5974,Filip Krajinovic,3,1,0.0,0.619,0.692,0.5,Aslan Karatsev,6,5,0.0,0.792,0.842,0.8,0,1,755,555,0
6046,Filip Krajinovic,6,2,0.0,0.6815,0.708,0.65,Aslan Karatsev,6,6,0.031,0.615,0.778,0.6965,1,1,755,555,0
6118,Luca Nardi,4,1,0.0,0.667,0.722,0.556,Arthur Rinderknech,6,6,0.0,0.739,0.941,0.667,0,1,360,772,1
6190,Marton Fucsovics,7,0,0.026,0.59,0.696,0.688,Geoffrey Blancaneaux,5,1,0.029,0.743,0.692,0.556,1,0,767,379,0
6262,Marton Fucsovics,5,1,0.0455,0.632,0.6385,0.544,Geoffrey Blancaneaux,7,1,0.028,0.696,0.6795,0.509,1,1,767,379,0
6334,Maxime Cressy,6,7,0.156,0.656,0.81,0.455,Antoine Bellier,3,4,0.069,0.793,0.652,0.333,1,0,857,313,0
6406,Fernando Verdasco,3,0,0.0,0.727,0.5,0.333,Mackenzie Mcdonald,6,1,0.0,0.444,0.667,0.667,0,1,452,820,1
6478,Jack Sock,6,2,0.07,0.535,0.739,0.5,Ilya Ivashka,6,1,0.051,0.615,0.792,0.333,1,0,405,715,0
6550,Jack Sock,4,6,0.0655,0.631,0.7235,0.4165,Ilya Ivashka,6,5,0.0435,0.7005,0.8049999999999999,0.333,1,1,405,715,0
6622,Jordan Thompson,6,3,0.0,0.6,0.733,0.6,Denis Kudla,1,0,0.062,0.625,0.5,0.333,1,0,604,573,0
6694,Steve Johnson,6,7,0.041,0.592,0.724,0.5,Adrian Mannarino,6,9,0.0,0.73,0.926,0.5,0,1,448,791,1
6766,Fabio Fognini,4,0,0.034,0.655,0.684,0.7,Laslo Djere,6,2,0.0,0.552,0.875,0.615,0,1,778,793,1
6768,Pedro Martinez,1,1,0.056,0.694,0.48,0.273,Bernabe Zapata Miralles,6,2,0.0,0.696,0.688,0.571,0,1,726,702,1
6770,Pedro Martinez,6,1,0.1175,0.6685,0.5455,0.2865,Bernabe Zapata Miralles,3,2,0.013,0.72,0.5509999999999999,0.4355,1,1,726,702,1
6772,Thiago Monteiro,6,2,0.0,0.528,0.684,0.647,Pedro Cachin,6,3,0.053,0.632,0.792,0.643,0,1,676,777,1
6774,Dusan Lajovic,3,1,0.0,0.621,0.444,0.364,Sebastian Baez,6,1,0.025,0.7,0.5,0.583,0,1,591,1125,0
6846,Dusan Lajovic,6,1,0.0125,0.5855,0.5855,0.3765,Sebastian Baez,6,3,0.0125,0.711,0.5575,0.5415,1,1,591,1125,0
6918,Facundo Diaz Acosta,6,3,0.024,0.439,0.722,0.652,Federico Coria,6,0,0.0,0.684,0.615,0.667,1,0,316,880,0
6990,Juan Pablo Varillas,6,1,0.13,0.522,0.75,0.364,Joao Sousa,2,0,0.0,0.5,0.533,0.4,1,0,541,407,0
7062,Tomas Martin Etcheverry,3,1,0.042,0.583,0.714,0.3,Hugo Dellien,6,0,0.0,0.643,0.593,0.6,0,1,651,501,0
7134,Tomas Martin Etcheverry,6,6,0.046,0.5914999999999999,0.7735,0.525,Hugo Dellien,2,0,0.0,0.738,0.5765,0.4,1,1,651,501,0
7206,Yannick Hanfmann,2,0,0.038,0.615,0.562,0.4,Francisco Cerundolo,6,0,0.0,0.667,0.688,0.75,0,1,419,1365,1
7278,Yannick Hanfmann,6,0,0.019,0.605,0.6220000000000001,0.4,Francisco Cerundolo,4,2,0.012,0.7145,0.563,0.775,1,1,419,1365,1
7350,Jordan Thompson,6,6,0.036,0.607,0.882,0.545,Denis Kudla,3,0,0.1,0.55,0.636,0.667,1,0,579,573,1
7352,Jordan Thompson,4,12,0.0735,0.5395,0.7645,0.483,Denis Kudla,6,0,0.066,0.6135,0.6275,0.6335,1,1,579,573,1
7354,Oscar Otte,3,5,0.077,0.423,0.909,0.4,Yoshihito Nishioka,6,1,0.0,0.72,0.722,0.571,0,1,666,1232,1
7356,Oscar Otte,6,10,0.065,0.47450000000000003,0.8545,0.47800000000000004,Yoshihito Nishioka,0,1,0.0835,0.5545,0.5755,0.37649999999999995,1,1,666,1232,1
7358,Steve Johnson,4,4,0.065,0.548,0.706,0.357,Nuno Borges,6,3,0.103,0.655,0.684,0.6,0,1,448,514,1
7360,Steve Johnson,6,9,0.0325,0.6445000000000001,0.703,0.607,Nuno Borges,3,6,0.06999999999999999,0.661,0.7030000000000001,0.522,1,1,448,514,1
7362,Aleksandar Vukic,6,2,0.027,0.622,0.826,0.286,Christopher Eubanks,6,5,0.0,0.714,0.6,0.75,0,1,347,524,0
7434,Aleksandar Vukic,6,3,0.0345,0.6234999999999999,0.8795,0.47650000000000003,Christopher Eubanks,3,5,0.019,0.6839999999999999,0.5645,0.764,1,1,347,524,0
7506,Daniel Altmaier,6,6,0.0,0.7,1.0,1.0,Adrian Mannarino,4,2,0.029,0.559,0.737,0.533,1,0,559,791,1
7578,Daniel Altmaier,3,8,0.0,0.6499999999999999,0.7665,0.75,Adrian Mannarino,6,5,0.043000000000000003,0.5795,0.6779999999999999,0.552,1,1,559,791,1
7650,Michael Mmoh,6,2,0.0,0.767,0.636,0.6,Aleksandar Kovacevic,4,6,0.032,0.645,0.8,0.455,1,0,599,435,0
7722,Michael Mmoh,3,3,0.037,0.6985,0.5535,0.55,Aleksandar Kovacevic,6,10,0.042499999999999996,0.5855,0.75,0.47750000000000004,1,1,599,435,0
7794,Radu Albot,6,2,0.0,0.543,0.895,0.562,Fernando Verdasco,6,1,0.077,0.585,0.658,0.407,1,0,463,419,0
7866,Taro Daniel,2,0,0.037,0.444,0.583,0.467,Mackenzie Mcdonald,6,0,0.08,0.52,0.769,0.583,0,1,502,795,1
7938,David Goffin,0,1,0.0,0.696,0.375,0.286,Gregoire Barrere,6,0,0.059,0.765,0.769,0.5,0,1,965,750,1
7940,Grigor Dimitrov,6,3,0.0,0.625,1.0,0.333,Aslan Karatsev,1,0,0.05,0.45,0.444,0.182,1,0,1440,555,0
7942,Stan Wawrinka,6,4,0.0,0.722,0.846,0.7,Alexander Bublik,6,3,0.064,0.447,0.857,0.538,1,0,422,865,0
7944,Daniil Medvedev,4,3,0.083,0.556,0.6,0.312,Alejandro Davidovich Fokina,6,1,0.027,0.568,0.524,0.5,0,1,2750,1345,0
8016,Daniil Medvedev,6,7,0.0415,0.541,0.75,0.545,Alejandro Davidovich Fokina,2,1,0.0135,0.655,0.523,0.5625,1,1,2750,1345,0
8088,Lorenzo Sonego,2,0,0.0,0.696,0.562,0.286,Felix Auger Aliassime,6,6,0.048,0.619,0.923,0.5,0,1,790,3260,1
